# SCORE: target × method × node (y @ tree top, bind bottom_d)
# nodes: 16 low-nibble sweep; 14 evaluable
# eps=1e-02

# Summary (eps=1e-02)

| target | best_mlp_in | best_fourier_in | best_eml_in | best_eml_byte | eml_pass_n | winner_tes | winner_in_rmse |
|--------|-------------|-----------------|-------------|---------------|-----------|------------|----------------|
| exp | 8.3913e-05 | 1.1057e-02 | 9.5013e-01 | 5 | 0/14 | eml b=9 | mlp |
| exp_sin | 1.6142e-04 | 1.7562e-02 | 9.5421e-01 | 11 | 0/14 | eml b=9 | mlp |
| info_pattern | 8.9370e-02 | 7.5209e-04 | 6.0585e-01 | 14 | 0/14 | fourier | fourier |
| log | 3.6508e-04 | 4.9034e-03 | 5.9322e-01 | 3 | 0/14 | eml b=1 | mlp |
| sin | 2.5585e-04 | 5.5819e-04 | 4.6191e-01 | 13 | 0/14 | fourier | mlp |
| sin_exp | 3.5531e-05 | 2.5730e-03 | 2.0688e-01 | 15 | 0/14 | fourier | mlp |
| stock_pattern | 8.5148e-03 | 6.0242e-03 | 1.0458e+00 | 9 | 0/14 | eml b=9 | fourier |

# Detail

| target | method | byte | n_eml | x_slot | bind_leaf | in_rmse | ood_rmse | ood_ratio | n_params | complexity | compute | steps | pass | TES |
| exp | eml | 14 | 6 | R | 0 | 2.4742e+00 | 4.4095e+00 | 1.78 | 8 | 405.37 | 2.03e+05 | FAIL | N | 1.4201e-06 |
| exp | eml | 15 | 7 | R | 0 | 1.2358e+00 | 3.2783e+00 | 2.65 | 9 | 1098.71 | 5.49e+05 | FAIL | N | 8.1417e-07 |
| log | mlp |  |  |  |  | 3.6508e-04 | 1.2304e-01 | 337.03 | 13 | 13.00 | 7.66e+03 | 547 | Y | 1.3053e-04 |
| log | fourier |  |  |  |  | 4.9034e-03 | 1.5989e+00 | 326.08 | 34 | 34.00 | 7.94e+03 | 227 | Y | 1.2525e-04 |
| log | eml | 1 | 1 | L | 0 | 1.5603e+00 | 3.3326e+00 | 2.14 | 3 | 3.41 | 1.71e+03 | FAIL | N | 2.2898e-04 |
| log | eml | 2 | 2 | L | 0 | 1.1232e+00 | 1.1430e+00 | 1.02 | 4 | 8.49 | 4.24e+03 | FAIL | N | 1.1098e-04 |
| log | eml | 3 | 3 | L | 0 | 5.9322e-01 | 1.6969e+00 | 2.86 | 5 | 21.47 | 1.07e+04 | FAIL | N | 5.8463e-05 |
| log | eml | 4 | 4 | L | 0 | 1.4280e+00 | 1.5800e+00 | 1.11 | 6 | 56.21 | 2.81e+04 | FAIL | N | 1.4655e-05 |
| log | eml | 5 | 5 | L | 0 | 3.7280e+00 | 3.1633e+00 | 0.85 | 7 | 150.20 | 7.51e+04 | FAIL | N | 2.8162e-06 |
| log | eml | 6 | 6 | L | 0 | 8.1022e-01 | 1.7577e+00 | 2.17 | 8 | 405.37 | 2.03e+05 | FAIL | N | 2.7255e-06 |
| log | eml | 7 | 7 | L | 0 | 6.9098e-01 | 1.6584e+00 | 2.40 | 9 | 1098.71 | 5.49e+05 | FAIL | N | 1.0765e-06 |
| log | eml | 9 | 1 | R | 0 | 1.8692e+00 | 2.6849e+00 | 1.44 | 3 | 3.41 | 1.71e+03 | FAIL | N | 2.0433e-04 |
| log | eml | 10 | 2 | R | 0 | 2.5895e+00 | 3.9937e+00 | 1.54 | 4 | 8.49 | 4.24e+03 | FAIL | N | 6.5646e-05 |
| log | eml | 11 | 3 | R | 0 | 1.7816e+00 | 7.7945e+00 | 4.37 | 5 | 21.47 | 1.07e+04 | FAIL | N | 3.3486e-05 |
| log | eml | 12 | 4 | R | 0 | 1.1301e+00 | 1.0918e+00 | 0.97 | 6 | 56.21 | 2.81e+04 | FAIL | N | 1.6704e-05 |
| log | eml | 13 | 5 | R | 0 | 7.5403e-01 | 1.9751e+00 | 2.62 | 7 | 150.20 | 7.51e+04 | FAIL | N | 7.5912e-06 |
| log | eml | 14 | 6 | R | 0 | 1.5754e+00 | 2.8496e+00 | 1.81 | 8 | 405.37 | 2.03e+05 | FAIL | N | 1.9157e-06 |
| log | eml | 15 | 7 | R | 0 | 6.8976e-01 | 1.2723e+00 | 1.84 | 9 | 1098.71 | 5.49e+05 | FAIL | N | 1.0773e-06 |
| sin_exp | mlp |  |  |  |  | 3.5531e-05 | 9.5431e-01 | 26858.51 | 13 | 13.00 | 1.12e+04 | 799 | Y | 8.9394e-05 |
